model,model_name,specialty_code,specialty_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
seasonal_naive_12m,seasonal_naive_12m,X06,Other - Other Services,1763,426.07657402155417,1043.2951286515013,46.787282544657366,33.9958200654959,149.52746454906412,213.03828701077708,164.08582529778786,175.55052561920968,0.841747022121384,1010.3660238230289
historical_seasonal_mean,historical_seasonal_mean,X06,Other - Other Services,1763,443.4106352807714,885.7681240134689,55.54236999212058,35.37887105562807,180.8888743888934,221.7053176403857,241.9606601752064,214.8516174014952,0.7492909812819059,2256.175713700493
naive_last_value,naive_last_value,X04,Other - Paediatric Services,1368,301.66301169590645,586.2813246784061,16.906736532081876,11.309104750796852,112.4993201754386,150.83150584795322,73.02840643274854,112.11974415204678,0.7931286549707602,795.6705409356724
hist_gradient_boosting,hist_gradient_boosting,X04,Other - Paediatric Services,1368,381.1833651988123,842.8950113552092,17.4146498256338,14.290259127427246,78.60663338240909,190.5916825994061,97.88779458478405,122.3620368555331,0.8267543859649122,1318.0940087749368
TCN,TCN,X04,Other - Paediatric Services,1368,381.6484582542676,740.3398300665689,18.691392629617415,14.30769509365142,115.2510948893968,190.8242291271338,249.4638059556135,185.1797099907147,0.966374269005848,3602.4267095435434
seasonal_naive_12m,seasonal_naive_12m,X04,Other - Paediatric Services,1368,436.5906432748538,755.0667314918913,22.387790745153318,16.367433614931663,150.1703143274854,218.2953216374269,113.87302631578945,160.77955409356727,0.797514619883041,1207.989692982456
historical_seasonal_mean,historical_seasonal_mean,X04,Other - Paediatric Services,1368,543.0982090643274,868.3144301649463,29.61210936250945,20.36031697008345,257.18002011974386,271.5491045321637,233.37639619883043,254.03517361691263,0.5847953216374269,2287.931219715957
naive_last_value,naive_last_value,X05,Other - Surgical Services,1559,434.7536882617062,1000.251188785644,21.03118567623753,12.464651387324428,135.31699807568955,217.3768441308531,165.31347658755612,172.66910626469956,0.7177677998717127,771.0148171905066
hist_gradient_boosting,hist_gradient_boosting,X05,Other - Surgical Services,1559,493.94994725980825,1061.9642213776172,20.800867608399585,14.16184396272345,111.41220794610015,246.97497362990413,182.53172593170927,180.3063025025712,0.8017960230917255,1598.5641647188722
TCN,TCN,X05,Other - Surgical Services,1559,570.8635214278911,1110.178289921225,23.410656180602107,16.367002687866158,154.70687613227264,285.43176071394555,350.9101798003113,263.6829388821764,0.9352148813341886,4349.388747443443
seasonal_naive_12m,seasonal_naive_12m,X05,Other - Surgical Services,1559,589.4939063502245,1129.5521880843569,29.583560933286208,16.901147100066666,179.77699807568953,294.74695317511225,203.84484284797944,226.1229313662604,0.7434252726106478,1170.435214881334
historical_seasonal_mean,historical_seasonal_mean,X05,Other - Surgical Services,1559,804.5010797519777,1415.9743552526893,36.98953692899368,23.065532899626827,243.84574082898072,402.25053987598886,309.81352469531754,318.6366018000957,0.6837716484926235,2277.303618212733
hist_gradient_boosting,hist_gradient_boosting,160,Plastic Surgery Service,1176,121.14304343915283,216.57065268489515,24.136280236753333,11.35644511262793,28.825259278620344,60.57152171957642,30.40879315488123,39.93519138435934,0.7653061224489796,429.3305955764571
naive_last_value,naive_last_value,160,Plastic Surgery Service,1176,127.95493197278913,237.91409835753515,25.57456090488208,11.995019446319946,34.61623299319728,63.97746598639456,53.04125850340136,50.544985827664405,0.9149659863945578,665.8181122448981
seasonal_naive_12m,seasonal_naive_12m,160,Plastic Surgery Service,1176,168.78656462585033,289.5575486489548,31.16838840534241,15.822743943900218,45.52789965986394,84.39328231292517,72.81428571428569,67.57848922902494,0.9413265306122448,1014.7934523809524
TCN,TCN,160,Plastic Surgery Service,1176,170.59361681240756,281.03587341217093,31.081374825966805,15.992144417833323,38.36072298898584,85.29680840620378,102.8324731366164,75.49666817726866,0.8571428571428571,1369.6283794627302
historical_seasonal_mean,historical_seasonal_mean,160,Plastic Surgery Service,1176,336.88547065651653,626.5886320334455,42.01638725148338,31.58102395433191,46.02323105631142,168.4427353282583,191.1537989957888,135.20658846011952,0.9685374149659864,2250.9238328069328
naive_last_value,naive_last_value,340,Respiratory Medicine Service,1500,238.9773333333333,356.0470287288839,18.128991332945628,15.54006074420758,64.13074666666667,119.48866666666666,57.36076666666666,80.32672666666666,0.8366666666666667,822.7944666666668
hist_gradient_boosting,hist_gradient_boosting,340,Respiratory Medicine Service,1500,287.59305200610225,410.8682522451475,20.96450714700334,18.70141170063637,60.5205254971762,143.79652600305113,73.95749274812388,92.75818141611708,0.676,806.2850378902657
seasonal_naive_12m,seasonal_naive_12m,340,Respiratory Medicine Service,1500,393.3586666666667,721.4499123293315,25.427297256101767,25.579068478993133,122.95747333333335,196.67933333333332,94.21606666666663,137.95095777777777,0.8633333333333333,1255.7460666666666
TCN,TCN,340,Respiratory Medicine Service,1500,420.0975661608378,569.5937054585528,29.651922321679265,27.31782803654956,57.52937377176284,210.0487830804189,189.0464805262247,152.20821245946885,0.8873333333333333,2265.6185913502377
historical_seasonal_mean,historical_seasonal_mean,340,Respiratory Medicine Service,1500,534.5610880952381,979.135555471264,36.4401101466114,34.761086604404746,80.14245535978837,267.28054404761906,223.40330388888887,190.27543443209876,0.8906666666666667,2288.9611443386248
naive_last_value,naive_last_value,410,Rheumatology Service,1512,144.12103174603175,215.83379144401957,19.424836135995136,14.990413911282417,42.23329365079365,72.06051587301587,44.66510582010582,52.98630511463844,0.9411375661375662,786.9496031746032
hist_gradient_boosting,hist_gradient_boosting,410,Rheumatology Service,1512,160.50845684039567,239.4936568316808,20.523873695014064,16.694913817566327,35.77099300406384,80.25422842019783,47.05874082357566,54.36132074927912,0.7566137566137566,547.0800405205136
