feature_name,display_name,raw_column,feature_group,lag,feature_kind,mean_abs_shap
new_rtt_periods_lag3_missing__lag_01,new_rtt_periods_lag3_missing,new_rtt_periods_lag3_missing,referral or new RTT-period features,1,raw_encoder_feature,0.7954839326242354
new_rtt_periods_lag6__lag_01,new_rtt_periods_lag6,new_rtt_periods_lag6,referral or new RTT-period features,1,raw_encoder_feature,0.0
completed_admitted__lag_00,completed_admitted,completed_admitted,completed-pathway features,0,raw_encoder_feature,0.0
new_rtt_periods_imputed__lag_01,new_rtt_periods_imputed,new_rtt_periods_imputed,referral or new RTT-period features,1,raw_encoder_feature,0.0
new_rtt_periods_imputed__lag_00,new_rtt_periods_imputed,new_rtt_periods_imputed,referral or new RTT-period features,0,raw_encoder_feature,0.0
incomplete_decision_to_admit__lag_01,incomplete_decision_to_admit,incomplete_decision_to_admit,waiting-list lags,1,raw_encoder_feature,0.0
closing_waiting_list_missing__lag_02,closing_waiting_list_missing,closing_waiting_list_missing,waiting-list lags,2,raw_encoder_feature,0.0
completed_admitted_imputed__lag_01,completed_admitted_imputed,completed_admitted_imputed,completed-pathway features,1,raw_encoder_feature,0.0
completed_admitted_imputed__lag_00,completed_admitted_imputed,completed_admitted_imputed,completed-pathway features,0,raw_encoder_feature,0.0
completed_admitted_imputed__lag_02,completed_admitted_imputed,completed_admitted_imputed,completed-pathway features,2,raw_encoder_feature,0.0
completed_total_lag6_missing__lag_02,completed_total_lag6_missing,completed_total_lag6_missing,completed-pathway features,2,raw_encoder_feature,0.0
completed_non_admitted_imputed__lag_00,completed_non_admitted_imputed,completed_non_admitted_imputed,completed-pathway features,0,raw_encoder_feature,0.0
completed_non_admitted_imputed__lag_01,completed_non_admitted_imputed,completed_non_admitted_imputed,completed-pathway features,1,raw_encoder_feature,0.0
completed_non_admitted_imputed__lag_02,completed_non_admitted_imputed,completed_non_admitted_imputed,completed-pathway features,2,raw_encoder_feature,0.0
new_rtt_periods_imputed__lag_02,new_rtt_periods_imputed,new_rtt_periods_imputed,referral or new RTT-period features,2,raw_encoder_feature,0.0
