trust_code,trust_name,specialty_code,specialty_name,baseline_predicted_backlog,sessions_allocated,simulated_completed_pathways,remaining_backlog,allocation_cost,percent_reduction
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,101,Urology Service,236.46213340759277,0,0.0,236.462135,0.0,0.0
NFH,SOMERSET SURGICAL SERVICES HQ,160,Plastic Surgery Service,1157.9433898925781,0,0.0,1157.9433920000001,0.0,0.0
NFH,SOMERSET SURGICAL SERVICES HQ,140,Oral Surgery Service,3315.3229370117188,0,0.0,3315.32294,0.0,0.0
NFH,SOMERSET SURGICAL SERVICES HQ,130,Ophthalmology Service,1976.3887786865234,0,0.0,1976.38878,0.0,0.0
NFH,SOMERSET SURGICAL SERVICES HQ,110,Trauma and Orthopaedic Service,3104.0347747802734,0,0.0,3104.03478,0.0,0.0
NEY,PIONEER HEALTHCARE LIMITED,150,Neurosurgical Service,317.5349597930908,0,0.0,317.534961,0.0,0.0
NEY,PIONEER HEALTHCARE LIMITED,110,Trauma and Orthopaedic Service,305.59951400756836,0,0.0,305.599513,0.0,0.0
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,130,Ophthalmology Service,1096.5636520385742,0,0.0,1096.563654,0.0,0.0
NCR,ISIGHT,130,Ophthalmology Service,4733.619934082031,0,0.0,4733.61992,0.0,0.0
NAM01,PROBUS SURGICAL CENTRE,130,Ophthalmology Service,1739.0798645019531,0,0.0,1739.07987,0.0,0.0
NAM01,PROBUS SURGICAL CENTRE,110,Trauma and Orthopaedic Service,1316.0190505981445,0,0.0,1316.019055,0.0,0.0
NAM01,PROBUS SURGICAL CENTRE,101,Urology Service,482.66492462158203,0,0.0,482.664923,0.0,0.0
NAM01,PROBUS SURGICAL CENTRE,100,General Surgery Service,1549.4476165771484,0,0.0,1549.4476300000001,0.0,0.0
N6Z0R,NEWMEDICA - LINCOLN,130,Ophthalmology Service,187.59780025482178,0,0.0,187.5978,0.0,0.0
M4C5R,NEWMEDICA - NORTHAMPTON,130,Ophthalmology Service,5582.030090332031,0,0.0,5582.03008,0.0,0.0
F9Z4V,CIRCLE READING HOSPITAL,502,Gynaecology Service,121.19887828826904,0,0.0,121.1988762,0.0,0.0
F9Z4V,CIRCLE READING HOSPITAL,120,Ear Nose and Throat Service,109.08062839508057,0,0.0,109.0806285,0.0,0.0
NT30A,SPIRE NOTTINGHAM HOSPITAL,100,General Surgery Service,263.63184928894043,0,0.0,263.63185,0.0,0.0
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,130,Ophthalmology Service,63749.48681640625,0,0.0,63749.4869,0.0,0.0
ACG38,NEWMEDICA - LANGFORD,130,Ophthalmology Service,1026.901252746582,0,0.0,1026.9012539999999,0.0,0.0
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,130,Ophthalmology Service,1972.4893188476562,0,0.0,1972.48931,0.0,0.0
ACG31,NEWMEDICA - WORCESTER,130,Ophthalmology Service,2067.0382232666016,0,0.0,2067.03822,0.0,0.0
ACG30,NEWMEDICA - WORKSOP - DUKERIES,130,Ophthalmology Service,440.7026557922363,0,0.0,440.702658,0.0,0.0
ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,130,Ophthalmology Service,5305.384246826172,0,0.0,5305.38425,0.0,0.0
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,130,Ophthalmology Service,8545.4892578125,0,0.0,8545.48927,0.0,0.0
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,130,Ophthalmology Service,1647.160545349121,0,0.0,1647.16055,0.0,0.0
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,130,Ophthalmology Service,2560.7662506103516,0,0.0,2560.76626,0.0,0.0
ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),130,Ophthalmology Service,367.71307945251465,0,0.0,367.71308,0.0,0.0
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,130,Ophthalmology Service,3893.4363708496094,0,0.0,3893.43638,0.0,0.0
AAH,TETBURY HOSPITAL TRUST LTD,502,Gynaecology Service,144.19513702392578,0,0.0,144.195137,0.0,0.0
F9Z4V,CIRCLE READING HOSPITAL,110,Trauma and Orthopaedic Service,2181.192398071289,0,0.0,2181.19241,0.0,0.0
