"REF","ROYAL CORNWALL HOSPITALS NHS TRUST","Y58","QT6","ROYAL CORNWALL HOSPITAL","TRELISKE","","TRURO","","TR1 3LJ","19920401","","","","","","","01872 250000","","","","1","","K","","",""
"REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y62","QYG","ROYAL LIVERPOOL UNIVERSITY HOSPITAL","PRESCOT STREET","","LIVERPOOL","","L7 8XP","19920401","","","","","","","0151 706 2000","","","","1","","B","","",""
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","Y62","QYG","CLATTERBRIDGE HOSPITAL","CLATTERBRIDGE ROAD","BEBINGTON","WIRRAL","","CH63 4JY","19920401","","","","","","","0151 556 5000","","","","1","","B","","",""
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","Y62","QYG","LIVERPOOL WOMENS HOSPITAL","CROWN STREET","","LIVERPOOL","","L8 7SS","19920401","","","","","","","0151 708 9988","","","","1","","B","","",""
"RET","THE WALTON CENTRE NHS FOUNDATION TRUST","Y62","QYG","LOWER LANE","","","LIVERPOOL","","L9 7LJ","19920401","","","","","","","0151 525 3611","","","","1","","B","","",""
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","Y56","QMF","QUEENS HOSPITAL","ROM VALLEY WAY","","ROMFORD","","RM7 0AG","20010401","","","","","","","0330 400 4333","","","","1","","H","","",""
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","Y63","QF7","GAWBER ROAD","","","BARNSLEY","","S75 2EP","19930401","","","","","","","01226 730000","","","","1","","D","","",""
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST","Y63","QF7","MOORGATE ROAD","","","ROTHERHAM","","S60 2UD","19930401","","","","","","","01709 820000","","","","1","","D","","",""
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","Y60","QJ2","CHESTERFIELD ROAD","CALOW","","CHESTERFIELD","","S44 5BL","19930401","","","","","","","01246 277271","","","","1","","E","","",""
"RFW","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Y56","Z9B2Z","TWICKENHAM ROAD","","","ISLEWORTH","","TW7 6AF","19930401","20150831","","","","","","020 8560 2121","","","","1","","H","","",""
"RGC","WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST","Y56","QMF","WHIPPS CROSS HOSPITAL","WHIPPS CROSS ROAD","","LONDON","","E11 1NR","20010401","20120331","","","","","","020 8539 5522","","","","1","","H","","",""
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","Y63","QWO","ST. MARYS HOUSE","ST. MARYS ROAD","","LEEDS","","LS7 3JX","19930401","","","","","","","0113 8555000","","","","1","","D","","",""
"RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","Y61","S1Y5D","PAPWORTH ROAD","CAMBRIDGE BIOMEDICAL CAMPUS","","CAMBRIDGE","","CB2 0AY","19930401","","","","","","","01223 638000","","","","1","","G","","",""
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST","Y61","S1Y5D","PETERBOROUGH CITY HOSPITAL","BRETTON GATE","BRETTON","PETERBOROUGH","","PE3 9GZ","19930401","","","","","","","01733 874000","","","","1","","G","","",""
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","T6Y0W","LOWESTOFT ROAD","GORLESTON","","GREAT YARMOUTH","","NR31 6LA","19930401","","","","","","","01493 452452","","","","1","","G","","",""
"RGQ","IPSWICH HOSPITAL NHS TRUST","Y61","T6Y0W","HEATH ROAD","","","IPSWICH","","IP4 5PD","19930401","20180630","","","","","","01473 712233","","","","1","","G","","",""
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST","Y61","T6Y0W","WEST SUFFOLK HOSPITAL","HARDWICK LANE","","BURY ST. EDMUNDS","","IP33 2QZ","19930401","","","","","","","01284 713000","","","","1","","G","","",""
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","S1Y5D","CAMBRIDGE BIOMEDICAL CAMPUS","HILLS ROAD","","CAMBRIDGE","","CB2 0QQ","19930401","","","","","","","01223 245151","","","","1","","G","","",""
